Gf_Date,Gf_Apls_1_01_Description,Gf_Gift_ID,Gf_CnAdrPrf_State,Gf_Amount,Gf_CnBio_ID,Gf_Pks_1_01_Package_ID
8/20/13,Individual Contributions,86921,NY,10,87442,
8/16/13,Individual Contributions,86802,OH,5,99360,
10/4/13,Individual Contributions,87688,CA,5,108339,
7/25/14,Individual Contributions,95319,MD,4,102321,14AC
7/25/14,Individual Contributions,95320,IA,5,101517,14AC
7/25/14,Individual Contributions,95321,OK,20,109173,14AC
7/25/14,Individual Contributions,95322,NC,150,35481,14AC
7/25/14,Individual Contributions,95345,GA,1,102310,14AC
7/25/14,Individual Contributions,95346,CA,12,102135,14AC
10/30/14,Individual Contributions,97437,NY,35,67712,14AC
8/28/14,Individual Contributions,95952,OK,20,109173,14AC
9/5/14,Individual Contributions,95989,CT,100,105125,14AC
1/23/15,Individual Contributions,100330,FL,250,100907,14AC
10/17/14,Individual Contributions,97291,IL,500,104014,14AC
11/10/14,Individual Contributions,97737,MD,10,109901,14AC
11/14/14,Individual Contributions,97797,OH,50,103348,14AC
8/8/14,Individual Contributions,95545,TX,2,109776,14AC
8/8/14,Individual Contributions,95546,OH,50,95797,14AC
8/15/14,Individual Contributions,95736,IL,50,60544,14AC
8/15/14,Individual Contributions,95737,MD,60,342,14AC
8/15/14,Individual Contributions,95738,NY,100,87174,14AC
8/28/14,Individual Contributions,95951,GA,1,102310,14AC
7/25/14,Individual Contributions,95347,PA,50,110664,14AC
7/25/14,Individual Contributions,95348,WA,60,106054,14AC
7/28/14,Individual Contributions,95359,CA,5,106133,14AC
7/31/14,Individual Contributions,95380,NC,15,110913,14AC
7/31/14,Individual Contributions,95381,CA,100,37995,14AC
8/1/14,Individual Contributions,95382,OH,50,108264,14AC
2/14/13,Individual Contributions,82369,FL,10,CW15352,A&R WM
2/15/13,Individual Contributions,82642,NY,25,109619,A&R WM
2/15/13,Individual Contributions,82643,CA,25,103668,A&R WM
2/15/13,Individual Contributions,82644,GA,5,103214,A&R WM
2/15/13,Individual Contributions,82645,GA,20,98763,A&R WM
2/15/13,Individual Contributions,82646,WA,20.06,101126,A&R WM
7/22/15,Individual Contributions,103812,FL,10,CW15352,A&R WM
7/1/15,Individual Contributions,103635,TX,25,106756,A&R WM
7/9/15,Individual Contributions,103695,IL,41.25,34523,A&R WM
7/16/15,Individual Contributions,103739,DC,10,104664,A&R WM
7/16/15,Individual Contributions,103740,DC,10,104664,A&R WM
7/16/15,Individual Contributions,103741,CA,5,111448,A&R WM
5/29/15,Individual Contributions,102907,MA,35,69694,A&R WM
6/4/15,Individual Contributions,103093,OH,50,113302,A&R WM
6/18/15,Individual Contributions,103358,OH,10,110302,A&R WM
6/18/15,Individual Contributions,103359,FL,10,CW15352,A&R WM
6/23/15,Individual Contributions,103461,PA,25,114293,A&R WM
7/1/15,Individual Contributions,103628,IL,100,114312,A&R WM
9/20/13,Individual Contributions,87547,AZ,50,99505,A&R WM
9/26/13,Individual Contributions,87636,PA,50,24626,A&R WM
4/17/15,Individual Contributions,102331,GA,5,103214,A&R WM
4/17/15,Individual Contributions,102332,MN,65,100371,A&R WM
4/23/15,Individual Contributions,102403,UT,65,102377,A&R WM
5/21/15,Individual Contributions,102718,FL,10,CW15352,A&R WM
11/30/15,Individual Contributions,105794,GA,50,108638,A&R WM
11/30/15,Individual Contributions,105795,FL,15,111659,A&R WM
11/30/15,Individual Contributions,105796,NY,25,109301,A&R WM
11/30/15,Individual Contributions,105797,MA,35,69694,A&R WM
9/13/13,Individual Contributions,87449,DC,10,104664,A&R WM
9/13/13,Individual Contributions,87450,FL,10,CW15352,A&R WM
10/7/15,Individual Contributions,104542,IN,50,5500,A&R WM
8/20/13,Individual Contributions,86917,FL,10,CW15352,A&R WM
11/23/15,Individual Contributions,105636,FL,10,CW15352,A&R WM
11/23/15,Individual Contributions,105637,CA,25,113431,A&R WM
11/30/15,Individual Contributions,105793,NJ,50,15206,A&R WM
3/26/15,Individual Contributions,102043,DC,10,104664,A&R WM
4/13/15,Individual Contributions,102235,FL,10,CW15352,A&R WM
1/14/14,Individual Contributions,89936,CO,25,107845,A&R WM
1/14/14,Individual Contributions,89937,MO,60,48859,A&R WM
1/14/14,Individual Contributions,89935,PA,20,101947,A&R WM
1/9/15,Individual Contributions,99807,GA,30,109459,A&R WM
1/9/15,Individual Contributions,99812,NY,25,113883,A&R WM
3/19/15,Individual Contributions,101517,FL,10,CW15352,A&R WM
3/19/15,Individual Contributions,101518,WA,20.04,101126,A&R WM
