StateCode,CountyCode,TractCode,MSA,CensusYear,Minority_Population,Non_hispanic_other,Non_hispanic_asian,Non_hispanic_white,Non_hispanic_american_indian,Non_hispanic_black,Hispanics,Population,Minority_percentage,Family_count,Household_count,DistressedTractInd,Income_Indicator,Poverty_level_percentage,MSA_MFI_pct,Decennial_Trace_MHI,Decennial_MSA_MFI,HUD_est_MSA_MFI,Est_Income,sDecennial_Tract_MFI,Median_unit_age,Total_housing_units,Num_1_to_4_units,Own_occ_1_to_4_units,Owner_occupied_units,Renter_occupied_units,Units_vacant,Central_City_Flag
25,015,8203.00,44140,2015,1882,241,942,4936,10,242,447,6818,27.60,1312,2730,No,Middle,39.61,116.34,37622,65262,67300,78297,75929,36,2840,1976,953,998,1732,110,0
25,015,8207.00,44140,2015,1429,185,585,3080,2,216,441,4509,31.69,996,1720,No,Upper,19.64,151.14,65982,65262,67300,101717,98643,34,1779,1165,942,1007,713,59,0
25,015,8208.01,44140,2015,1708,215,567,3524,13,335,578,5232,32.65,1115,2083,No,Upper,20.15,154.18,61418,65262,67300,103763,100625,31,2233,1312,1060,1268,815,150,0
25,015,8202.02,44140,2015,112,24,23,1209,2,22,41,1321,8.48,386,542,No,Upper,4.65,145.68,81765,65262,67300,98043,95076,40,582,574,468,476,66,40,0
25,015,8227.00,44140,2015,119,36,27,3078,1,18,37,3197,3.72,923,1377,No,Middle,7.94,109.69,60320,65262,67300,73821,71587,49,1632,1612,1176,1176,201,255,0
25,013,8134.03,44140,2015,205,24,65,3642,4,30,82,3847,5.33,1094,1473,No,Upper,5.12,128.55,69638,65262,67300,86514,83895,52,1505,1419,1184,1197,276,32,0
25,015,8214.00,44140,2015,555,77,211,4695,8,96,163,5250,10.57,1234,1977,No,Upper,7.14,127.86,69911,65262,67300,86050,83444,46,2024,1828,1381,1381,596,47,0
25,013,8116.00,44140,2015,3388,26,20,361,5,107,3230,3749,90.37,858,1371,No,Low,51.14,32.07,15536,65262,67300,21583,20933,55,1543,515,176,176,1195,172,0
25,013,8119.00,44140,2015,556,45,59,2999,7,57,388,3555,15.64,942,1552,No,Upper,5.28,136.46,62500,65262,67300,91838,89063,71,1613,1510,1200,1208,344,61,0
25,015,8219.01,44140,2015,442,91,141,2849,6,75,129,3291,13.43,578,1404,No,Upper,6.79,156.85,56518,65262,67300,105560,102368,71,1487,1050,734,762,642,83,0
25,015,8222.00,44140,2015,755,115,200,5359,10,77,353,6114,12.35,1552,2500,No,Upper,9.82,128.62,71211,65262,67300,86561,83942,48,2533,2472,1889,1943,557,33,0
25,015,8213.00,44140,2015,463,75,127,3734,4,62,195,4197,11.03,1132,1902,No,Upper,10.95,123.55,60208,65262,67300,83149,80634,40,1957,1527,1307,1369,533,55,0
25,015,8212.00,44140,2015,819,107,405,1308,1,166,140,2127,38.50,40,60,No,Upper,0.00,129.89,68750,65262,67300,87416,84773,46,131,120,49,49,11,71,0
25,013,8122.01,44140,2015,946,92,263,3654,8,146,437,4600,20.57,1155,2144,No,Middle,16.01,94.11,50349,65262,67300,63336,61422,58,2344,1687,939,946,1198,200,0
25,013,8019.02,44140,2015,2999,74,55,615,13,690,2167,3614,82.98,771,1443,No,Low,55.83,23.63,17589,65262,67300,15903,15425,71,1800,547,99,234,1209,357,1
25,013,8002.01,44140,2015,3284,154,113,3050,16,659,2342,6334,51.85,1489,2458,No,Moderate,26.15,60.21,36199,65262,67300,40521,39299,60,2624,2448,1725,1725,733,166,1
25,013,8004.00,44140,2015,4329,133,88,2397,11,699,3398,6726,64.36,1640,2199,No,Moderate,23.47,67.42,44778,65262,67300,45374,44006,71,2343,2291,1334,1334,865,144,1
25,013,8003.00,44140,2015,2352,102,50,2043,6,473,1721,4395,53.52,1114,1743,No,Moderate,13.91,67.89,39212,65262,67300,45690,44310,59,1942,1787,1180,1188,555,199,1
25,013,8018.00,44140,2015,3902,108,9,377,11,1745,2029,4279,91.19,1016,1272,No,Moderate,34.55,57.05,30625,65262,67300,38395,37237,71,1648,1340,606,606,666,376,1
25,013,8020.00,44140,2015,2470,35,34,379,4,358,2039,2849,86.70,695,1182,No,Low,63.10,21.19,14244,65262,67300,14261,13835,71,1311,732,80,80,1102,129,1
25,013,8133.01,44140,2015,618,102,232,6725,3,78,203,7343,8.42,1926,2505,No,Upper,0.46,163.67,90815,65262,67300,110150,106818,71,2505,2416,2218,2218,287,0,0
25,013,8133.03,44140,2015,422,40,259,3965,0,35,88,4387,9.62,1176,1637,No,Upper,5.92,203.52,94917,65262,67300,136969,132826,38,1657,1378,1312,1355,282,20,0
25,013,8021.00,44140,2015,3219,167,169,2856,6,907,1970,6075,52.99,1359,2421,No,Moderate,38.74,69.03,33994,65262,67300,46457,45054,71,2854,1642,809,843,1578,433,1
25,013,8016.01,44140,2015,1850,135,117,3217,17,975,606,5067,36.51,1086,1520,No,Middle,8.37,90.16,53750,65262,67300,60678,58846,53,1704,1450,1273,1282,238,184,1
25,013,8017.00,44140,2015,5614,188,70,1963,13,3503,1840,7577,74.09,1365,1986,No,Moderate,34.42,51.02,33465,65262,67300,34336,33300,71,2261,2057,902,902,1084,275,1
25,013,8014.01,44140,2015,3622,94,16,370,6,1769,1737,3992,90.73,1051,1442,No,Low,32.62,44.62,28641,65262,67300,30029,29121,71,1652,1512,554,554,888,210,1
25,013,8014.02,44140,2015,1478,57,87,538,5,688,641,2016,73.31,459,807,No,Middle,18.81,89.32,40417,65262,67300,60112,58293,53,909,672,488,488,319,102,1
25,013,8013.00,44140,2015,3991,138,23,645,15,2043,1772,4636,86.09,1057,1596,No,Low,30.32,45.69,27500,65262,67300,30749,29819,71,1853,1444,668,668,928,257,1
25,013,8016.05,44140,2015,2156,129,130,2452,4,928,965,4608,46.79,1234,1731,No,Moderate,24.91,77.89,44622,65262,67300,52420,50833,40,1784,1467,1096,1096,635,53,1
25,013,8025.00,44140,2015,1870,135,276,4824,4,638,817,6694,27.94,1665,2782,No,Middle,6.73,102.99,62387,65262,67300,69312,67218,59,2827,2684,2390,2419,363,45,1
25,013,8016.02,44140,2015,2086,123,76,3022,8,906,973,5108,40.84,1336,1811,No,Middle,17.73,85.83,47468,65262,67300,57764,56020,49,1860,1557,1216,1216,595,49,1
25,013,8015.01,44140,2015,3604,157,68,1757,25,1769,1585,5361,67.23,1307,1882,No,Moderate,20.74,73.66,45030,65262,67300,49573,48074,53,1975,1791,1290,1290,592,93,1
25,013,8016.04,44140,2015,888,74,81,2879,10,374,349,3767,23.57,1096,1460,No,Middle,4.63,115.74,70774,65262,67300,77893,75536,46,1516,1516,1388,1388,72,56,1
25,013,8016.03,44140,2015,1581,115,126,2604,5,656,679,4185,37.78,1145,1714,No,Middle,8.03,98.46,57100,65262,67300,66264,64261,36,1819,1463,1277,1369,345,105,1
