DonorID,StateCode,CountyCode,TractCode,MSA,CensusYear
9834,25,015,8203.00,44140,2015
7720,25,015,8207.00,44140,2015
2592,25,015,8208.01,44140,2015
106737,25,015,8208.01,44140,2015
5700,25,015,8208.01,44140,2015
22346,25,015,8202.02,44140,2015
6216,25,015,8208.01,44140,2015
17931,25,015,8203.00,44140,2015
8814,25,015,8203.00,44140,2015
112950,25,015,8227.00,44140,2015
7895,25,013,8134.03,44140,2015
104482,25,015,8214.00,44140,2015
89615,25,013,8116.00,44140,2015
CW15182,25,013,8119.00,44140,2015
5239,25,015,8219.01,44140,2015
44900,25,015,8222.00,44140,2015
5910,25,015,8213.00,44140,2015
8800,25,015,8212.00,44140,2015
8795,25,015,8213.00,44140,2015
12101,25,015,8213.00,44140,2015
CW20509,25,013,8122.01,44140,2015
11915,25,013,8019.02,44140,2015
100220,25,013,8002.01,44140,2015
CW19135,25,013,8004.00,44140,2015
CW18266,25,013,8003.00,44140,2015
CW19108,25,013,8018.00,44140,2015
CW19033,25,013,8020.00,44140,2015
9616,25,013,8133.01,44140,2015
7884,25,013,8133.03,44140,2015
106997,25,013,8004.00,44140,2015
CW19561,25,013,8021.00,44140,2015
5075,25,013,8016.01,44140,2015
CW18610,25,013,8017.00,44140,2015
8930,25,013,8014.01,44140,2015
5010,25,013,8017.00,44140,2015
CW19841,25,013,8014.02,44140,2015
CW17521,25,013,8013.00,44140,2015
102482,25,013,8014.01,44140,2015
CW21980,25,013,8017.00,44140,2015
110882,25,013,8014.01,44140,2015
CW20304,25,013,8014.02,44140,2015
103292,25,013,8014.02,44140,2015
CW17653,25,013,8017.00,44140,2015
105010,25,013,8014.02,44140,2015
CW18719,25,013,8017.00,44140,2015
97738,25,013,8013.00,44140,2015
8782,25,013,8016.01,44140,2015
104362,25,013,8013.00,44140,2015
7678,25,013,8013.00,44140,2015
95043,25,013,8016.01,44140,2015
101702,25,013,8017.00,44140,2015
CW20920,25,013,8016.05,44140,2015
CW20626,25,013,8025.00,44140,2015
CW18896,25,013,8025.00,44140,2015
CW18046,25,013,8025.00,44140,2015
8770,25,013,8016.02,44140,2015
111069,25,013,8015.01,44140,2015
99116,25,013,8015.01,44140,2015
4564,25,013,8016.01,44140,2015
97958,25,013,8016.04,44140,2015
CW16217,25,013,8016.03,44140,2015
111952,25,013,8016.04,44140,2015
75873,25,013,8001.01,44140,2015
7676,25,003,9005.00,38340,2015
63607,25,003,9007.00,38340,2015
8193,25,003,9008.00,38340,2015
75110,25,003,9343.00,38340,2015
4711,25,003,9251.00,38340,2015
110884,25,003,9131.00,38340,2015
103931,25,003,9213.00,38340,2015
5721,25,003,9201.02,38340,2015
7671,25,011,0410.00,99999,2015
7010,25,027,7032.00,49340,2015
3074,25,011,0405.02,99999,2015
106219,25,011,0404.00,99999,2015
97337,25,017,3251.00,15764,2015
11641,25,027,7614.00,49340,2015
91994,25,017,3271.03,15764,2015
CW17757,25,027,7161.00,49340,2015
107255,25,027,7581.02,49340,2015
8541,25,027,7282.00,49340,2015
39668,25,027,7401.02,49340,2015
11263,25,027,7392.00,49340,2015
90161,25,027,7581.02,49340,2015
CW14662,25,027,7311.01,49340,2015
9198,25,027,7309.02,49340,2015
2550,25,027,7311.02,49340,2015
103455,25,027,7327.00,49340,2015
4649,25,027,7306.00,49340,2015
11545,25,027,7304.01,49340,2015
69528,25,027,7316.00,49340,2015
21343,25,017,3833.00,15764,2015
88412,25,017,3840.02,15764,2015
111613,25,017,3832.00,15764,2015
50295,25,017,3881.00,15764,2015
4760,25,017,3632.02,15764,2015
98992,25,017,3631.02,15764,2015
7660,25,017,3591.00,15764,2015
11554,25,017,3591.00,15764,2015
113184,25,017,3591.00,15764,2015
3617,25,017,3591.00,15764,2015
2638,25,017,3591.00,15764,2015
8711,25,017,3621.00,15764,2015
106733,25,017,3621.00,15764,2015
8018,25,017,3613.00,15764,2015
3364,25,017,3611.00,15764,2015
8697,25,017,3612.00,15764,2015
103592,25,017,3612.00,15764,2015
107040,25,027,7451.00,49340,2015
CW16629,25,017,3211.00,15764,2015
110770,25,027,7444.00,49340,2015
9807,25,017,3826.01,15764,2015
8690,25,017,3821.00,15764,2015
111159,25,017,3861.00,15764,2015
9425,25,017,3602.00,15764,2015
6870,25,017,3602.00,15764,2015
11971,25,017,3602.00,15764,2015
105531,25,017,3652.01,15764,2015
9345,25,017,3652.02,15764,2015
8044,25,017,3662.02,15764,2015
108054,25,017,3662.02,15764,2015
34763,25,017,3662.02,15764,2015
45163,25,017,3662.02,15764,2015
8673,25,017,3333.00,15764,2015
10146,25,017,3334.00,15764,2015
64496,25,017,3322.00,15764,2015
112170,25,017,3323.00,15764,2015
CW18440,25,017,3321.00,15764,2015
92913,25,009,2544.02,15764,2015
8246,25,009,2542.00,15764,2015
7187,25,017,3141.02,15764,2015
103785,25,009,2603.02,15764,2015
107140,25,009,2509.00,15764,2015
110152,25,009,2521.01,15764,2015
50030,25,009,2532.03,15764,2015
12387,25,009,2531.00,15764,2015
72250,25,017,3125.01,15764,2015
104485,25,017,3125.01,15764,2015
104451,25,017,3883.00,15764,2015
47726,25,017,3302.00,15764,2015
29261,25,017,3343.00,15764,2015
6053,25,017,3152.00,15764,2015
51498,25,017,3131.01,15764,2015
1992,25,017,3352.00,15764,2015
103096,25,017,3313.00,15764,2015
