Record key,Package_ID
9834,R15I2
7720,R15I4
2592,R15A4
106737,R15C2
5700,R15I5
22346,R15A4
6216,R15I2
17931,R15I1
8814,R15I2
109561,R15B2
112950,R15A2
7895,R15I1
8775,R15I1
104482,R15A2
89615,R15D2
CW15182,R15G1
8805,R15A2
4747,R15I4
5239,R15I2
44900,R15I1
5910,R15I1
8800,R15I4
8795,R15I4
12101,R15I3
CW20509,R15I2
11915,R15I2
100220,R15F2
CW19135,R15I1
CW18266,R15E2
CW19108,R15I1
CW19033,R15I2
9616,R15I1
7884,R15I1
106997,R15C2
CW19561,R15I3
5075,R15I1
CW18610,R15I1
8930,R15I2
5010,R15I1
CW19841,R15I1
CW17521,R15I2
102482,R15E1
CW21980,R15I1
110882,R15B1
CW20304,R15I1
103292,R15E3
CW17653,R15I1
105010,R15D2
CW18719,R15I3
97738,R15E1
8782,R15A1
104362,R15D2
7678,R15I2
95043,R15C2
101702,R15E1
CW20920,R15I2
CW20626,R15I1
CW18896,R15I1
CW18046,R15I1
8770,R15I2
111069,R15B1
99116,R15G2
4564,R15I3
97958,R15G3
CW16217,R15I1
111952,R15A2
107669,R15D1
75873,R15I2
7676,R15I1
63607,R15I1
8193,R15I1
3719,R15I1
105313,R15D4
75110,R15I1
4711,R15C2
686,R15I3
11917,R15I1
59599,R15I2
110884,R15A1
103931,R15B2
104251,R15D4
5721,R15I1
96781,R15G1
7671,R15I2
11691,R15I2
7010,R15I6
7849,R15I1
3074,R15I1
106219,R15C3
97337,R15G2
11641,R15I1
91994,R15I2
CW17757,R15I1
108662,R15C1
107255,R15B2
8541,R15I2
39668,R15I1
11263,R15I4
90161,R15I1
CW14662,R15I2
9198,R15A1
2550,R15I1
103455,R15D2
4649,R15I1
11545,R15I3
69528,R15I3
21343,R15I2
88412,R15I1
111613,R15A2
50295,R15H5
4760,R15I2
98992,R15C2
7660,R15I3
11554,R15I2
113184,R15A2
3617,R15I1
2638,R15I2
8711,R15I1
106733,R15A4
8018,R15F4
3364,R15I4
8697,R15I2
103592,R15A2
107040,R15C4
CW16629,R15I4
110770,R15A2
9807,R15I2
8690,R15I1
111159,R15B2
9425,R15I3
6870,R15A4
11971,R15I3
105531,R15B2
9345,R15I1
8044,R15I1
108054,R15B3
34763,R15G2
45163,R15H6
8673,R15I3
10146,R15I2
64496,R15I1
112170,R15A2
CW18440,R15G1
13,R15I3
92913,R15I4
8246,R15I1
7187,R15I4
9969,R15I2
103785,R15D3
107140,R15A2
110152,R15B2
50030,R15I3
12576,R15A4
12387,R15I1
72250,R15I2
104485,R15D3
104451,R15E2
76324,R15I1
47726,R15I1
29261,R15I2
6053,R15B2
51498,R15I1
1992,R15I2
103096,R15E2
6683,R15I2
3125,R15A2
109925,R15B3
109491,R15B3
12538,R15I1
109879,R15B2
2752,R15I4
12544,R15I1
5661,R15I2
12555,R15I1
8222,R15I1
20437,R15I2
49361,R15I1
CW15520,R15D3
12586,R15I1
2824,R15I1
12519,R15I2
4176,R15I2
105951,R15A1
108431,R15C3
12596,R15I2
12597,R15I2
9177,R15I2
18474,R15D2
103381,R15A3
77676,R15D2
12605,R15I2
90955,R15I4
104112,R15D3
102959,R15B1
107694,R15C2
7608,R15I3
49176,R15I1
16523,R15I3
11422,R15I4
99071,R15G2
12616,R15I3
8048,R15I2
108296,R15C1
107972,R15C1
1459,R15I2
105403,R15A2
73829,R15I4
110140,R15B1
5592,R15I1
12637,R15I4
109461,R15A4
12638,R15I1
101621,R15C2
109657,R15B4
8475,R15I4
104462,R15D5
933,R15I5
108862,R15A1
4723,R15I1
11667,R15I6
100661,R15A2
90969,R15I5
69927,R15I3
7048,R15I1
12666,R15I4
111202,R15B2
101594,R15C1
109820,R15B2
104067,R15A3
12674,R15I3
2877,R15I1
106523,R15B1
6717,R15I2
12696,R15F3
12680,R15I3
3380,R15I2
32862,R15A3
107727,R15C4
106479,R15C2
7579,R15I3
38302,R15I3
9370,R15I1
96722,R15E1
10018,R15A4
97040,R15F2
23134,R15I1
CW14146,R15I1
108442,R15B2
12709,R15I3
CW14816,R15I2
10120,R15I2
54424,R15I3
40838,R15D2
109535,R15A1
12718,R15I1
38509,R15I3
CW15847,R15I1
103153,R15C2
17707,R15I6
67948,R15I2
91687,R15I1
112161,R15A1
91120,R15H2
CW16700,R15I4
103856,R15C1
12733,R15H3
102080,R15C2
106362,R15A2
11580,R15E1
109993,R15B2
98651,R15C2
6796,R15I2
106420,R15A2
101496,R15E2
CW14599,R15I3
107146,R15C2
100155,R15F3
30859,R15I1
105500,R15D2
5632,R15A1
94552,R15I2
99768,R15F2
105365,R15D2
112908,R15A2
105764,R15D2
94374,R15D1
48302,R15I1
103391,R15A3
98913,R15G2
106681,R15A1
112762,R15A2
100457,R15A2
6874,R15I1
10068,R15I1
64718,R15I4
12768,R15I2
11527,R15I1
6811,R15I2
9588,R15I1
CW14478,R15I1
12778,R15I2
19951,R15I3
2563,R15I3
103322,R15B3
100662,R15E1
52389,R15I2
12785,R15I3
3273,R15I2
63464,R15I1
9902,R15I1
103172,R15A2
3499,R15I3
113091,R15A2
105829,R15D1
101325,R15C1
92864,R15I4
101476,R15E2
19016,R15I4
652,R15I2
100897,R15B3
12802,R15I4
48842,R15I3
12805,R15A3
108327,R15C2
2837,R15I2
12808,R15I1
4966,R15I1
12812,R15I4
33527,R15I1
111670,R15A4
12819,R15B4
3329,R15I5
12822,R15I4
51153,R15I4
66994,R15I2
8588,R15I4
12830,R15I2
12832,R15I4
6531,R15E3
4212,R15I2
50758,R15I2
12856,R15I3
13229,R15I2
100171,R15B2
12868,R15I4
4731,R15I3
12784,R15I4
10023,R15I1
3718,R15I2
7023,R15I2
90052,R15G1
111649,R15A1
12897,R15I4
108645,R15A3
54547,R15I2
112782,R15A1
3021,R15I4
CW21589,R15I1
11905,R15I2
82313,R15I4
4086,R15I2
109409,R15A2
113212,R15A1
100147,R15F2
104453,R15E4
13094,R15I4
107212,R15A4
102420,R15E2
107926,R15A2
50286,R15H6
36723,R15I2
53060,R15I1
CW16331,R15I2
100685,R15A2
2459,R15I1
12987,R15I1
11935,R15I1
4175,R15I1
12995,R15I2
112159,R15A1
13013,R15I2
12012,R15I2
112026,R15A2
11251,R15I2
13017,R15I3
29873,R15I3
92873,R15I4
CW14450,R15E4
106062,R15A1
13250,R15C1
104667,R15A1
13128,R15I1
4628,R15I4
82307,R15I3
13244,R15I1
99503,R15G3
101943,R15C1
83369,R15I4
110423,R15B3
106432,R15C2
11822,R15I2
102869,R15E7
104846,R15B3
77609,R15I3
13382,R15B1
CW12373,R15I1
92555,R15D4
74187,R15I1
103955,R15D1
106034,R15C1
13306,R15I1
106427,R15A2
102341,R15E2
11722,R15I1
105576,R15B2
109087,R15B1
CW13998,R15I2
96774,R15D1
106653,R15B2
13315,R15H2
102412,R15B1
103478,R15E1
99055,R15G1
4266,R15I3
113492,R15A1
13142,R15I2
6570,R15A2
11959,R15I2
13158,R15C3
109254,R15B2
4481,R15I2
13147,R15I4
13151,R15I1
112965,R15A3
11916,R15I2
4382,R15I1
5611,R15A1
5596,R15B5
13160,R15H4
13166,R15I3
13170,R15I2
12934,R15I2
5085,R15I2
12936,R15I4
13083,R15B2
109365,R15B2
94295,R15G1
101196,R15A3
12953,R15I2
110903,R15B2
