Gf_GL_post_date,Gf_Date,Gf_Amount,Gf_Gift_ID,Gf_Apls_1_01_Appeal_ID,Gf_Apls_1_01_Description,Gf_Apls_1_01_Ap_Appeal_category,Gf_Cmps_1_01_Campaign_ID,Gf_Cmps_1_01_Description,Gf_Pks_1_01_Package_ID,Gf_Pks_1_01_Description,Gf_Fnds_1_01_Fund_ID,Gf_Fnds_1_01_Description,Gf_CnBio_ID,Gf_CnBio_Age,Gf_CnAdrPrf_State,Gf_CnCnstncy_1_01_CodeShort,Gf_CnCnstncy_1_01_CodeLong,Gf_CnCnstncy_1_02_CodeShort,Gf_CnCnstncy_1_02_CodeLong
8/14/13,8/20/13,10,86921,4002,Individual Contributions,Contributions,13 ANN FUND,2013 Annual Fund,,,801-9437,Direct Mail Renewal,87442,,NY,DON,Donor,,
8/14/13,8/16/13,5,86802,4002,Individual Contributions,Contributions,13 ANN FUND,2013 Annual Fund,,,801-9437,Direct Mail Renewal,99360,,OH,DON,Donor,,
10/3/13,10/4/13,5,87688,4002,Individual Contributions,Contributions,13 ANN FUND,2013 Annual Fund,,,801-9437,Direct Mail Renewal,108339,,CA,DON,Donor,,
7/22/14,7/25/14,4,95319,4002,Individual Contributions,Contributions,14 ANN FUND,2014 Annual Fund,14AC,2014 Annual Conference Ask,801-9437,Direct Mail Renewal,102321,,MD,DON,Donor,,
7/22/14,7/25/14,5,95320,4002,Individual Contributions,Contributions,14 ANN FUND,2014 Annual Fund,14AC,2014 Annual Conference Ask,801-9437,Direct Mail Renewal,101517,,IA,DON,Donor,,
7/22/14,7/25/14,20,95321,4002,Individual Contributions,Contributions,14 ANN FUND,2014 Annual Fund,14AC,2014 Annual Conference Ask,801-9437,Direct Mail Renewal,109173,,OK,DON,Donor,,
7/22/14,7/25/14,150,95322,4002,Individual Contributions,Contributions,14 ANN FUND,2014 Annual Fund,14AC,2014 Annual Conference Ask,801-9437,Direct Mail Renewal,35481,,NC,DON,Donor,,
7/25/14,7/25/14,1,95345,4002,Individual Contributions,Contributions,14 ANN FUND,2014 Annual Fund,14AC,2014 Annual Conference Ask,801-9437,Direct Mail Renewal,102310,,GA,DON,Donor,,
7/25/14,7/25/14,12,95346,4002,Individual Contributions,Contributions,14 ANN FUND,2014 Annual Fund,14AC,2014 Annual Conference Ask,801-9437,Direct Mail Renewal,102135,,CA,DON,Donor,,
10/29/14,10/30/14,35,97437,4002,Individual Contributions,Contributions,14 ANN FUND,2014 Annual Fund,14AC,2014 Annual Conference Ask,801-9437,Direct Mail Renewal,67712,,NY,DON,Donor,,
